date,close,open,high,low,volume,Change %
2022-01-31,2003.2,2004.29,2009.39,1992.66,23100000000.0,1.01
2022-01-28,1983.18,2006.79,2019.43,1976.68,28300000000.0,-0.73
2022-01-27,1997.69,1920.21,1997.69,1913.54,25400000000.0,2.38
2022-01-26,1951.17,1951.17,1975.25,1945.97,21400000000.0,0.31
2022-01-25,1945.07,1927.82,1953.33,1880.18,26500000000.0,1.82
2022-01-24,1910.29,2004.87,2013.1,1910.29,42400000000.0,-5.02
2022-01-21,2011.16,2008.05,2021.14,1986.53,31500000000.0,-0.15
2022-01-20,2014.21,2056.21,2065.84,1984.43,54500000000.0,-1.36
2022-01-19,2042.08,1978.78,2043.99,1959.4,49200000000.0,3.14
2022-01-18,1979.83,2082.81,2086.27,1979.83,41500000000.0,-5.08
2022-01-17,2085.76,2088.53,2102.97,2083.55,38500000000.0,0.62
2022-01-14,2072.93,2071.35,2081.07,2049.32,32100000000.0,0.11
2022-01-13,2070.65,2057.47,2086.96,2054.48,34000000000.0,0.31
2022-01-12,2064.21,2070.35,2074.76,2055.66,32500000000.0,0.89
2022-01-11,2046.03,2060.08,2068.17,2017.99,38700000000.0,0.04
2022-01-10,2045.16,2049.54,2071.81,2045.16,31400000000.0,0.58
2022-01-07,2033.32,2020.27,2036.08,1994.45,35000000000.0,1.28
2022-01-06,2007.55,1993.06,2021.77,1977.66,29300000000.0,0.11
2022-01-05,2005.29,1965.52,2006.79,1954.74,23900000000.0,2.12
2022-01-04,1963.59,1941.26,1978.12,1925.22,30900000000.0,1.92
2022-01-03,1926.66,1871.25,1926.66,1864.79,22900000000.0,3.71
2021-12-31,1857.65,1867.71,1885.23,1845.59,15900000000.0,-0.32
2021-12-30,1863.65,1895.46,1923.56,1860.92,23400000000.0,-1.68
2021-12-29,1895.46,1850.48,1901.33,1828.6,25700000000.0,2.43
2021-12-28,1850.48,1913.31,1916.17,1830.87,25800000000.0,-2.46
2021-12-27,1897.13,1898.66,1942.53,1873.3,30099999999.999996,0.31
2021-12-24,1891.28,1820.67,1891.28,1808.93,25299999999.999996,4.76
2021-12-23,1805.3,1835.33,1849.33,1726.32,38100000000.0,0.06
2021-12-22,1804.15,1832.54,1895.54,1783.77,45800000000.0,-4.64
2021-12-21,1892.02,2077.22,2103.56,1884.66,43700000000.0,-7.99
2021-12-20,2056.36,2055.37,2149.4,1914.02,50400000000.0,-1.35
2021-12-17,2084.47,2324.28,2406.87,2071.25,82800000000.0,-8.52
2021-12-16,2278.55,2183.19,2278.55,2175.5,59400000000.00001,5.38
2021-12-15,2162.26,2190.61,2195.07,2145.63,55599999999.99999,0.21
2021-12-14,2157.74,2124.06,2157.74,2124.06,62699999999.99999,2.68
2021-12-13,2101.51,2047.64,2115.89,2047.64,47699999999.99999,3.24
2021-12-10,2035.48,2033.62,2042.93,2000.59,43600000000.0,0.2
2021-12-09,2031.44,2010.2,2053.47,2010.2,49700000000.0,1.34
2021-12-08,2004.55,1990.03,2012.26,1977.85,55300000000.0,1.19
2021-12-07,1981.04,1944.56,1984.03,1942.5,43500000000.0,2.78
2021-12-06,1927.39,1917.32,1928.14,1898.62,37200000000.0,0.89
2021-12-03,1910.41,1896.82,1914.13,1893.67,36800000000.0,1.61
2021-12-02,1880.06,1864.14,1882.61,1864.14,36300000000.0,1.22
2021-12-01,1857.4,1823.06,1857.83,1823.06,38300000000.0,2.64
2021-11-30,1809.65,1807.52,1818.79,1797.16,33600000000.0,0.05
2021-11-29,1808.79,1783.06,1811.87,1776.77,30400000000.0,1.82
2021-11-26,1776.41,1811.07,1811.07,1760.8,38300000000.0,-2.35
2021-11-25,1819.23,1816.38,1833.76,1805.97,34000000000.0,0.38
2021-11-24,1812.3,1798.96,1834.51,1798.96,50300000000.0,1.55
2021-11-23,1784.56,1756.71,1791.82,1746.36,56400000000.0,1.66
2021-11-22,1755.48,1751.05,1759.16,1741.17,27000000000.0,1.04
2021-11-19,1737.33,1748.72,1759.06,1727.62,36200000000.0,0.03
2021-11-18,1736.88,1710.05,1759.19,1697.86,61300000000.0,1.75
2021-11-17,1707.04,1683.1,1712.9,1683.1,33800000000.0,1.27
2021-11-16,1685.6,1715.41,1725.02,1681.78,48900000000.0,-0.99
2021-11-15,1702.49,1672.35,1710.79,1672.35,46700000000.0,3.91
2021-11-12,1638.5,1631.43,1642.76,1631.43,28300000000.0,0.83
2021-11-11,1625.06,1622.02,1643.82,1621.49,40599999999.99999,0.06
2021-11-10,1624.09,1618.06,1627.22,1603.78,34000000000.0,0.52
2021-11-09,1615.64,1612.01,1631.45,1605.41,44400000000.00001,0.44
2021-11-08,1608.54,1589.43,1609.07,1589.23,31800000000.0,1.58
2021-11-05,1583.59,1575.83,1586.59,1568.82,31400000000.0,0.5
2021-11-04,1575.67,1562.15,1577.36,1562.15,40000000000.0,1.85
2021-11-03,1547.03,1532.93,1547.03,1491.67,43900000000.0,0.91
2021-11-02,1533.05,1538.77,1545.88,1528.42,26500000000.0,-0.21
2021-11-01,1536.32,1522.28,1538.52,1516.24,25700000000.0,0.94
2021-10-28,1522.04,1518.91,1524.65,1516.54,11000000000.0,0.18
2021-10-27,1519.25,1507.77,1520.66,1503.03,29300000000.0,0.67
2021-10-26,1509.2,1501.17,1512.74,1501.17,22500000000.0,1.09
2021-10-25,1492.93,1474.97,1495.1,1470.59,30600000000.0,0.88
2021-10-22,1479.93,1456.07,1484.89,1453.97,27100000000.0,1.68
2021-10-21,1455.42,1433.29,1455.42,1417.21,34300000000.0,1.58
2021-10-20,1432.8,1432.24,1437.93,1427.67,22100000000.0,0.21
2021-10-19,1429.85,1423.81,1434.67,1423.81,19100000000.0,0.86
2021-10-18,1417.7,1411.38,1419.22,1407.87,20500000000.0,0.58
2021-10-15,1409.56,1417.45,1421.69,1397.15,26100000000.0,-0.16
2021-10-14,1411.75,1412.17,1422.44,1407.88,17800000000.0,-0.13
2021-10-13,1413.54,1421.31,1432.13,1408.21,25600000000.0,-0.23
2021-10-12,1416.82,1409.42,1423.02,1408.01,21400000000.0,0.04
2021-10-11,1416.3,1401.59,1419.7,1401.59,17000000000.0,1.31
2021-10-08,1398.0,1398.04,1404.6,1393.56,19300000000.0,0.08
2021-10-07,1396.92,1385.05,1397.93,1385.05,20500000000.0,1.84
2021-10-06,1371.69,1390.72,1392.4,1371.54,22700000000.0,-1.43
2021-10-05,1391.65,1396.11,1396.44,1388.54,16700000000.0,-0.2
2021-10-04,1394.37,1402.73,1407.84,1394.37,15800000000.0,-0.51
2021-10-01,1401.46,1398.93,1407.79,1394.55,15300000000.0,-0.35
2021-09-30,1406.39,1393.64,1409.19,1386.09,20700000000.0,1.04
2021-09-29,1391.92,1392.13,1396.67,1389.85,17200000000.0,0.59
2021-09-28,1383.77,1391.44,1393.38,1379.13,18700000000.0,-0.57
2021-09-27,1391.74,1393.19,1397.71,1380.81,16800000000.0,0.51
2021-09-24,1384.68,1397.36,1397.36,1376.01,20299999999.999996,-1.2
2021-09-23,1401.46,1409.28,1417.45,1394.35,26800000000.0,-0.43
2021-09-22,1407.46,1393.25,1407.46,1385.48,15000000000.0,1.58
2021-09-21,1385.61,1400.84,1403.76,1383.35,17000000000.0,-0.45
2021-09-20,1391.91,1407.67,1407.67,1386.33,17400000000.0,-1.94
2021-09-17,1419.43,1424.04,1427.07,1412.23,15400000000.0,0.1
2021-09-16,1418.03,1423.95,1434.74,1412.78,15400000000.0,-0.42
2021-09-15,1423.97,1433.86,1440.9,1420.38,16100000000.000002,-0.73
2021-09-14,1434.43,1440.67,1443.5,1428.96,17400000000.0,-0.27
2021-09-13,1438.28,1439.75,1447.96,1433.75,16000000000.0,-0.03
2021-09-10,1438.72,1455.46,1457.1,1437.62,15100000000.0,-0.96
