"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 31, 2022","2,003.20","2,004.29","2,009.39","1,992.66","2.31B","1.01%"
"Jan 28, 2022","1,983.18","2,006.79","2,019.43","1,976.68","2.83B","-0.73%"
"Jan 27, 2022","1,997.69","1,920.21","1,997.69","1,913.54","2.54B","2.38%"
"Jan 26, 2022","1,951.17","1,951.17","1,975.25","1,945.97","2.14B","0.31%"
"Jan 25, 2022","1,945.07","1,927.82","1,953.33","1,880.18","2.65B","1.82%"
"Jan 24, 2022","1,910.29","2,004.87","2,013.10","1,910.29","4.24B","-5.02%"
"Jan 21, 2022","2,011.16","2,008.05","2,021.14","1,986.53","3.15B","-0.15%"
"Jan 20, 2022","2,014.21","2,056.21","2,065.84","1,984.43","5.45B","-1.36%"
"Jan 19, 2022","2,042.08","1,978.78","2,043.99","1,959.40","4.92B","3.14%"
"Jan 18, 2022","1,979.83","2,082.81","2,086.27","1,979.83","4.15B","-5.08%"
"Jan 17, 2022","2,085.76","2,088.53","2,102.97","2,083.55","3.85B","0.62%"
"Jan 14, 2022","2,072.93","2,071.35","2,081.07","2,049.32","3.21B","0.11%"
"Jan 13, 2022","2,070.65","2,057.47","2,086.96","2,054.48","3.40B","0.31%"
"Jan 12, 2022","2,064.21","2,070.35","2,074.76","2,055.66","3.25B","0.89%"
"Jan 11, 2022","2,046.03","2,060.08","2,068.17","2,017.99","3.87B","0.04%"
"Jan 10, 2022","2,045.16","2,049.54","2,071.81","2,045.16","3.14B","0.58%"
"Jan 07, 2022","2,033.32","2,020.27","2,036.08","1,994.45","3.50B","1.28%"
"Jan 06, 2022","2,007.55","1,993.06","2,021.77","1,977.66","2.93B","0.11%"
"Jan 05, 2022","2,005.29","1,965.52","2,006.79","1,954.74","2.39B","2.12%"
"Jan 04, 2022","1,963.59","1,941.26","1,978.12","1,925.22","3.09B","1.92%"
"Jan 03, 2022","1,926.66","1,871.25","1,926.66","1,864.79","2.29B","3.71%"
"Dec 31, 2021","1,857.65","1,867.71","1,885.23","1,845.59","1.59B","-0.32%"
"Dec 30, 2021","1,863.65","1,895.46","1,923.56","1,860.92","2.34B","-1.68%"
"Dec 29, 2021","1,895.46","1,850.48","1,901.33","1,828.60","2.57B","2.43%"
"Dec 28, 2021","1,850.48","1,913.31","1,916.17","1,830.87","2.58B","-2.46%"
"Dec 27, 2021","1,897.13","1,898.66","1,942.53","1,873.30","3.01B","0.31%"
"Dec 24, 2021","1,891.28","1,820.67","1,891.28","1,808.93","2.53B","4.76%"
"Dec 23, 2021","1,805.30","1,835.33","1,849.33","1,726.32","3.81B","0.06%"
"Dec 22, 2021","1,804.15","1,832.54","1,895.54","1,783.77","4.58B","-4.64%"
"Dec 21, 2021","1,892.02","2,077.22","2,103.56","1,884.66","4.37B","-7.99%"
"Dec 20, 2021","2,056.36","2,055.37","2,149.40","1,914.02","5.04B","-1.35%"
"Dec 17, 2021","2,084.47","2,324.28","2,406.87","2,071.25","8.28B","-8.52%"
"Dec 16, 2021","2,278.55","2,183.19","2,278.55","2,175.50","5.94B","5.38%"
"Dec 15, 2021","2,162.26","2,190.61","2,195.07","2,145.63","5.56B","0.21%"
"Dec 14, 2021","2,157.74","2,124.06","2,157.74","2,124.06","6.27B","2.68%"
"Dec 13, 2021","2,101.51","2,047.64","2,115.89","2,047.64","4.77B","3.24%"
"Dec 10, 2021","2,035.48","2,033.62","2,042.93","2,000.59","4.36B","0.20%"
"Dec 09, 2021","2,031.44","2,010.20","2,053.47","2,010.20","4.97B","1.34%"
"Dec 08, 2021","2,004.55","1,990.03","2,012.26","1,977.85","5.53B","1.19%"
"Dec 07, 2021","1,981.04","1,944.56","1,984.03","1,942.50","4.35B","2.78%"
"Dec 06, 2021","1,927.39","1,917.32","1,928.14","1,898.62","3.72B","0.89%"
"Dec 03, 2021","1,910.41","1,896.82","1,914.13","1,893.67","3.68B","1.61%"
"Dec 02, 2021","1,880.06","1,864.14","1,882.61","1,864.14","3.63B","1.22%"
"Dec 01, 2021","1,857.40","1,823.06","1,857.83","1,823.06","3.83B","2.64%"
"Nov 30, 2021","1,809.65","1,807.52","1,818.79","1,797.16","3.36B","0.05%"
"Nov 29, 2021","1,808.79","1,783.06","1,811.87","1,776.77","3.04B","1.82%"
"Nov 26, 2021","1,776.41","1,811.07","1,811.07","1,760.80","3.83B","-2.35%"
"Nov 25, 2021","1,819.23","1,816.38","1,833.76","1,805.97","3.40B","0.38%"
"Nov 24, 2021","1,812.30","1,798.96","1,834.51","1,798.96","5.03B","1.55%"
"Nov 23, 2021","1,784.56","1,756.71","1,791.82","1,746.36","5.64B","1.66%"
"Nov 22, 2021","1,755.48","1,751.05","1,759.16","1,741.17","2.70B","1.04%"
"Nov 19, 2021","1,737.33","1,748.72","1,759.06","1,727.62","3.62B","0.03%"
"Nov 18, 2021","1,736.88","1,710.05","1,759.19","1,697.86","6.13B","1.75%"
"Nov 17, 2021","1,707.04","1,683.10","1,712.90","1,683.10","3.38B","1.27%"
"Nov 16, 2021","1,685.60","1,715.41","1,725.02","1,681.78","4.89B","-0.99%"
"Nov 15, 2021","1,702.49","1,672.35","1,710.79","1,672.35","4.67B","3.91%"
"Nov 12, 2021","1,638.50","1,631.43","1,642.76","1,631.43","2.83B","0.83%"
"Nov 11, 2021","1,625.06","1,622.02","1,643.82","1,621.49","4.06B","0.06%"
"Nov 10, 2021","1,624.09","1,618.06","1,627.22","1,603.78","3.40B","0.52%"
"Nov 09, 2021","1,615.64","1,612.01","1,631.45","1,605.41","4.44B","0.44%"
"Nov 08, 2021","1,608.54","1,589.43","1,609.07","1,589.23","3.18B","1.58%"
"Nov 05, 2021","1,583.59","1,575.83","1,586.59","1,568.82","3.14B","0.50%"
"Nov 04, 2021","1,575.67","1,562.15","1,577.36","1,562.15","4.00B","1.85%"
"Nov 03, 2021","1,547.03","1,532.93","1,547.03","1,491.67","4.39B","0.91%"
"Nov 02, 2021","1,533.05","1,538.77","1,545.88","1,528.42","2.65B","-0.21%"
"Nov 01, 2021","1,536.32","1,522.28","1,538.52","1,516.24","2.57B","0.94%"
"Oct 28, 2021","1,522.04","1,518.91","1,524.65","1,516.54","1.10B","0.18%"
"Oct 27, 2021","1,519.25","1,507.77","1,520.66","1,503.03","2.93B","0.67%"
"Oct 26, 2021","1,509.20","1,501.17","1,512.74","1,501.17","2.25B","1.09%"
"Oct 25, 2021","1,492.93","1,474.97","1,495.10","1,470.59","3.06B","0.88%"
"Oct 22, 2021","1,479.93","1,456.07","1,484.89","1,453.97","2.71B","1.68%"
"Oct 21, 2021","1,455.42","1,433.29","1,455.42","1,417.21","3.43B","1.58%"
"Oct 20, 2021","1,432.80","1,432.24","1,437.93","1,427.67","2.21B","0.21%"
"Oct 19, 2021","1,429.85","1,423.81","1,434.67","1,423.81","1.91B","0.86%"
"Oct 18, 2021","1,417.70","1,411.38","1,419.22","1,407.87","2.05B","0.58%"
"Oct 15, 2021","1,409.56","1,417.45","1,421.69","1,397.15","2.61B","-0.16%"
"Oct 14, 2021","1,411.75","1,412.17","1,422.44","1,407.88","1.78B","-0.13%"
"Oct 13, 2021","1,413.54","1,421.31","1,432.13","1,408.21","2.56B","-0.23%"
"Oct 12, 2021","1,416.82","1,409.42","1,423.02","1,408.01","2.14B","0.04%"
"Oct 11, 2021","1,416.30","1,401.59","1,419.70","1,401.59","1.70B","1.31%"
"Oct 08, 2021","1,398.00","1,398.04","1,404.60","1,393.56","1.93B","0.08%"
"Oct 07, 2021","1,396.92","1,385.05","1,397.93","1,385.05","2.05B","1.84%"
"Oct 06, 2021","1,371.69","1,390.72","1,392.40","1,371.54","2.27B","-1.43%"
"Oct 05, 2021","1,391.65","1,396.11","1,396.44","1,388.54","1.67B","-0.20%"
"Oct 04, 2021","1,394.37","1,402.73","1,407.84","1,394.37","1.58B","-0.51%"
"Oct 01, 2021","1,401.46","1,398.93","1,407.79","1,394.55","1.53B","-0.35%"
"Sep 30, 2021","1,406.39","1,393.64","1,409.19","1,386.09","2.07B","1.04%"
"Sep 29, 2021","1,391.92","1,392.13","1,396.67","1,389.85","1.72B","0.59%"
